character name,gender,x position,y position,z position,time Stamp
radiah,female,-1.80,1.40,3.30,10/22/2020 11:31:49 AM
radiah,female,-1.80,1.40,3.30,10/22/2020 11:31:49 AM
radiah,female,-1.81,1.43,3.29,10/22/2020 11:31:50 AM
radiah,female,-1.81,1.43,3.29,10/22/2020 11:31:50 AM
radiah,female,-1.79,1.42,3.29,10/22/2020 11:31:51 AM
radiah,female,-1.79,1.42,3.29,10/22/2020 11:31:51 AM
radiah,female,-1.77,1.39,3.29,10/22/2020 11:31:52 AM
radiah,female,-1.77,1.39,3.29,10/22/2020 11:31:52 AM
radiah,female,-1.79,1.41,3.29,10/22/2020 11:31:53 AM
radiah,female,-1.79,1.41,3.29,10/22/2020 11:31:53 AM
radiah,female,-1.79,1.43,3.27,10/22/2020 11:31:54 AM
radiah,female,-1.79,1.43,3.27,10/22/2020 11:31:54 AM
radiah,female,-1.82,1.47,3.18,10/22/2020 11:31:55 AM
radiah,female,-1.82,1.47,3.18,10/22/2020 11:31:55 AM
radiah,female,-1.75,1.42,3.17,10/22/2020 11:31:56 AM
radiah,female,-1.75,1.42,3.17,10/22/2020 11:31:56 AM
radiah,female,-1.36,0.99,3.06,10/22/2020 11:31:57 AM
radiah,female,-1.36,0.99,3.06,10/22/2020 11:31:57 AM
radiah,female,-1.36,0.95,3.04,10/22/2020 11:31:58 AM
radiah,female,-1.36,0.95,3.04,10/22/2020 11:31:58 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:31:59 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:31:59 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:00 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:00 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:01 AM
radiah,female,-1.37,0.94,3.06,10/22/2020 11:32:01 AM
